0: 0
349: ((11!)!-(100!))*.1+0!
350: ((11!)!!+0!+0!)*(11!+0!)
351: ((11!)!)*.1-(100!!+0!)
352: ((11!)!)*.1-(100!!)
353: ((11!)!)*.1-(0!)-((0!+0!+0!)!)
354: ((11!)!)*.1-((0!+0!+0!)!)
355: ((11!)!)*.1+0!-((0!+0!+0!)!)
356: ((11!)!)*.1-100
357: ((11!)!)*.1-(0!+0!+0!)
358: ((11!)!)*.1-(0!+0!)
359: ((11!)!)*.1-(0!)
360: ((11!)!)*.1
361: ((11!)!)*.1+0!
362: ((11!)!)*.1+0!+0!
363: ((11!)!)*.1+0!+0!+0!
364: ((11!)!)*.1+100
365: ((11!)!)*.1-(0!)+(0!+0!+0!)!
366: ((11!)!)*.1+(0!+0!+0!)!
367: ((11!)!)*.1+0!+(0!+0!+0!)!
368: ((11!)!)*.1+100!!
369: (100!!)!!-(101!!)
370: (100!!)!!-(101!!-(0!))
371: (100!!)!!-1101
372: (100!!)!!-((11!)/.1)
373: (100!!)!!-(s(101!+0!))
374: (100!!)!!-1010
375: (100!!)!!-1001
376: (100!!)!!-(100!!)
377: (100!!)!!-(11!+0!)
378: (100!!)!!-(11!)
379: (100!!)!!-101
380: (100!!)!!-100
381: (100!!)!!-11
382: (100!!)!!-(0!+0!)
383: (100!!)!!-(0!)
384: (100!!)!!
385: (100!!)!!+0!
386: (100!!)!!+0!+0!
387: (100!!)!!+11
388: (100!!)!!+100
389: (100!!)!!+101
390: (100!!)!!+11!
391: (100!!)!!+11!+0!
392: (100!!)!!+100!!
393: (100!!)!!+1001
394: (100!!)!!+1010
395: (100!!)!!+s(101!+0!)
396: (100!!)!!+(11!)/.1
397: (100!!)!!+1101
398: (100!!)!!+101!!-(0!)
399: (100!!)!!+101!!
400: 10100^10
401: 10100^10+1
402: (100!!)!!+1001/.1
403: (100!!)!!+s(((11!)!)*.1+0!)
404: ((11!)!)*.1001-(0!)
405: ((11!)!)*.1001
406: ((11!)!)*.1001+0!
407: (100!!)!!+100!-1
408: (100!!)!!+100!
409: (100!!)!!+100!+1
410: (100!!)!!+11010
411: (100!!)!!+100!+11
412: ((11!+0!)!!-(0!+0!))/.01
413: (100!!)!!-(0!)+(101!!)/.1
414: (100!!)!!+(101!!)/.1
415: ((11!+0!)!!-(0!))/.01-(0!)
416: ((11!+0!)!!-(0!))/.01
417: ((11!+0!)!!-(0!))/.01+0!
418: (((11!+0!)!!)/.1-(0!))/.1
419: ((11!+0!)!!)/.01-(0!)
420: ((11!+0!)!!)/.01
421: ((11!+0!)!!)/.01+0!
422: (((11!+0!)!!)/.1+0!)/.1
423: ((11!)!!-(0!))*(100!!+0!)
424: ((11!+0!)!!+0!)/.01
425: ((11!+0!)!!+0!)/.01+0!
426: (s((11!+0!)!+0!))*(11!)
427: (s((11!+0!)!+0!))*(11!)+0!
428: ((11!+0!)!!+0!+0!)/.01
429: (100!!)!!-1+(11!)!!-(0!+0!)
430: (100!!)!!-(0!+0!)+(11!)!!
431: (100!!)!!-(0!)+(11!)!!
432: (100!!)!!+(11!)!!
433: (100!!)!!+0!+(11!)!!
434: (100!!)!!+0!+0!+(11!)!!
435: (100!!)!!+10+(11!)!!+0!
436: (100!!)!!+100+(11!)!!
437: (100!!)!!+((11!+0!)!!+0!)*.1
438: (100!!)!!+(11!)!!+(10+0!)!
439: ((100!!)!!+0!)/.111-(0!)
440: ((100!!)!!+0!)/.111
441: 10101^(0!+0!)
442: 10101^10+0!
443: (100!!)!!+(101!)*.1-(0!)
444: (100!!)!!+(101!)*.1
445: (100!!)!!+(101!)*.1+0!
446: ((101!!)^10-(0!+0!))/.1
447: (100!!)!!-1+(0!+0!)^(11!)
448: (100!!)!!+(0!+0!)^(11!)
449: ((11!)!)*.101-(0!)
450: ((11!)!)*.101
451: ((11!)!)*.101+0!
452: ((101!!)^(0!+0!)+0!)/.1
453: ((11!)!)*.101+0!+0!+0!
454: (100!!)!!-(0!)+s(111!+0!)
455: (100!!)!!+s((11!+0!)!+0!)
456: (100!)*(s(((11!)!)*.1+0!))
457: ((11!)!)*.1+0!+(((0!+0!+0!)!)!!)/.1
458: (((0!+0!+0!)!)!)*.1+((11!)!!+0!)/.1
459: ((11!+0!)!!+(11!)!!)*(0!+0!+0!)
460: ((11!)!!-(0!+0!))*1010
461: (((11!)!!)^(0!+0!)+0!)/101
462 was not found
463: (11!)!-(0!)-(10^(100!!))
464: (11!)!-((0!+0!)^(100!!))
465: ((11!)!)*.1+((0!+0!+0!)!+0!)!!
466: ((11!)!)*.1+(100!!-(0!))!!+0!
467: ((100!!+0!)!!+0!)*.1-(11!)
468: (101!-(0!)-10)/.01
469: ((11!)!!-(0!))*1010-(0!)
470: ((11!)!!-(0!))*1010
471: (1001!!-(0!))*.1-(0!)
472: ((100!!+0!)!!-(0!))*.1
473: ((100!!+0!)!!+0!)*.1
474: (1001!!+0!)*.1+0!
475: (101!-(0!))/.01-(0!)
476: (101!-(0!))/.01
477: (101!-(0!))/.01+0!
478: ((101!)/.1-(0!))/.1
479: ((11!)!)/1.1-(0!)
480: ((11!)!)/1.1
481: ((11!)!)/1.1+0!
482: ((11!)!)/1.1+0!+0!
483: (101!+0!)/.01-(0!)
484: (101!+0!)/.01
485: (101!+0!)/.01+0!
486: ((0!+0!+0!)^101)/.1
487: (100!!)!!-(0!+0!)+111!!
488: (100!!)!!-(0!)+(11!+0!)!!
489: (100!!)!!+(11!+0!)!!
490: (100!!)!!+0!+(11!+0!)!!
491: (100!!)!!+10+(11!+0!)!!
492: ((11!)!)*.11-(((0!+0!+0!)!)!!)
493: ((11!)!-(0!))/.1-((100!!+0!)!!)
494: (11!)!-(0!)-((101!!)^(0!+0!))
495: (((0!+0!+0!)!)!)*.1011
496: (101!+100)/.01
497: (s((11!+0!)!+0!))*(11!+0!)
498: ((11!)!)*.101+((0!+0!+0!)!)!!
499 was not found
500: (1010^11)/(0!+0!)
